Time (s),Flame height (m)
80.92982456,0.872727273
80.96491228,0.824918831
99,0.85
99.03508772,0.888636364
99.07017544,1.027272727
99.10526316,1.075
99.14035088,0.795454545
99.1754386,0.772727273
99.21052632,0.747727273
99.24561404,0.820454545
99.28070175,1.05
99.31578947,1.002272727
99.35087719,1.172727273
99.38596491,0.827272727
99.42105263,0.988636364
99.45614035,1.179545455
99.49122807,1.215909091
99.52631579,1.065909091
99.56140351,1.184090909
99.59649123,0.813636364
99.63157895,0.972727273
99.66666667,0.802272727
99.70175439,0.85
99.73684211,0.986363636
99.77192982,1.104545455
99.80701754,1.027272727
99.84210526,0.925
99.87719298,1.093181818
99.9122807,1.236363636
99.94736842,1.093181818
99.98245614,1.247727273
100.0175439,0.672727273
100.0526316,0.779545455
100.0877193,0.822727273
100.122807,0.865909091
100.1578947,0.863636364
100.1929825,0.984090909
100.2280702,1.102272727
100.2631579,1.120454545
100.2982456,1.125
100.3333333,0.970454545
100.3684211,0.909090909
100.4035088,0.754545455
100.4385965,0.834090909
100.4736842,1.013636364
100.5087719,1.009090909
100.5438596,1.147727273
100.5789474,1.263636364
100.6140351,1.102272727
100.6491228,1.177272727
100.6842105,1
100.7192982,1.172727273
100.754386,0.902272727
100.7894737,1.088636364
100.8245614,1.227272727
100.8596491,0.904545455
100.8947368,0.845454545
100.9298246,0.970454545
100.9649123,0.990097403
119,1.404545455
119.0350877,0.879545455
119.0701754,0.611363636
119.1052632,0.611363636
119.1403509,0.672727273
119.1754386,0.663636364
119.2105263,0.802272727
119.245614,0.895454545
119.2807018,0.870454545
119.3157895,0.793181818
119.3508772,0.959090909
119.3859649,1.052272727
119.4210526,0.995454545
119.4561404,1.202272727
119.4912281,1.388636364
119.5263158,0.825
119.5614035,0.684090909
119.5964912,0.809090909
119.6315789,0.627272727
119.6666667,0.690909091
119.7017544,0.7
119.7368421,0.765909091
119.7719298,0.834090909
119.8070175,0.863636364
119.8421053,1.036363636
119.877193,1.154545455
119.9122807,1.327272727
119.9473684,1.411363636
119.9824561,1.425
120.0175439,0.856818182
120.0526316,0.793181818
120.0877193,0.918181818
120.122807,0.881818182
120.1578947,0.736363636
120.1929825,0.838636364
120.2280702,0.881818182
120.2631579,0.929545455
120.2982456,0.947727273
120.3333333,1.109090909
120.3684211,1.009090909
120.4035088,0.611363636
120.4385965,0.790909091
120.4736842,0.840909091
120.5087719,0.772727273
120.5438596,0.840909091
120.5789474,0.95
120.6140351,1.034090909
120.6491228,1.143181818
120.6842105,0.809090909
120.7192982,0.968181818
120.754386,1.161363636
120.7894737,0.954545455
120.8245614,1.179545455
120.8596491,0.822727273
120.8947368,0.936363636
120.9298246,1.118181818
120.9649123,0.924878247
139,0.822727273
139.0350877,0.956818182
139.0701754,0.868181818
139.1052632,0.884090909
139.1403509,0.997727273
139.1754386,0.827272727
139.2105263,0.968181818
139.245614,1.131818182
139.2807018,0.568181818
139.3157895,0.706818182
139.3508772,0.809090909
139.3859649,0.590909091
139.4210526,0.627272727
139.4561404,0.777272727
139.4912281,0.906818182
139.5263158,1.122727273
139.5614035,1.277272727
139.5964912,1.445454545
139.6315789,1.5
139.6666667,0.636363636
139.7017544,0.718181818
139.7368421,0.747727273
139.7719298,0.627272727
139.8070175,0.743181818
139.8421053,0.706818182
139.877193,0.629545455
139.9122807,0.7
139.9473684,0.820454545
139.9824561,0.904545455
140.0175439,1.136363636
140.0526316,1.234090909
140.0877193,1.365909091
140.122807,0.772727273
140.1578947,0.754545455
140.1929825,0.847727273
140.2280702,0.809090909
140.2631579,0.861363636
140.2982456,1.004545455
140.3333333,0.970454545
140.3684211,0.8
140.4035088,0.863636364
140.4385965,0.684090909
140.4736842,0.761363636
140.5087719,0.886363636
140.5438596,0.793181818
140.5789474,0.695454545
140.6140351,0.747727273
140.6491228,0.85
140.6842105,0.838636364
140.7192982,0.622727273
140.754386,0.704545455
140.7894737,0.845454545
140.8245614,0.9
140.8596491,0.913636364
140.8947368,0.931818182
140.9298246,0.95
140.9649123,0.867288961
159,1.254545455
159.0350877,0.720454545
159.0701754,0.840909091
159.1052632,1.027272727
159.1403509,0.745454545
159.1754386,0.659090909
159.2105263,0.813636364
159.245614,0.788636364
159.2807018,0.763636364
159.3157895,0.915909091
159.3508772,0.934090909
159.3859649,0.988636364
159.4210526,1.056818182
159.4561404,0.781818182
159.4912281,1.009090909
159.5263158,1.068181818
159.5614035,0.915909091
159.5964912,1.002272727
159.6315789,1.154545455
159.6666667,1.213636364
159.7017544,0.540909091
159.7368421,0.656818182
159.7719298,0.736363636
159.8070175,0.75
159.8421053,0.856818182
159.877193,1.047727273
159.9122807,1.131818182
159.9473684,0.818181818
159.9824561,0.981818182
160.0175439,1.243181818
160.0526316,0.690909091
160.0877193,0.85
160.122807,0.965909091
160.1578947,1.152272727
160.1929825,1.095454545
160.2280702,1.293181818
160.2631579,0.875
160.2982456,1.040909091
160.3333333,0.947727273
160.3684211,1.020454545
160.4035088,1.072727273
160.4385965,1.263636364
160.4736842,1.409090909
160.5087719,0.943181818
160.5438596,0.506818182
160.5789474,0.602272727
160.6140351,0.572727273
160.6491228,0.65
160.6842105,0.613636364
160.7192982,0.743181818
160.754386,0.820454545
160.7894737,0.845454545
160.8245614,0.972727273
160.8596491,1.106818182
160.8947368,1.263636364
160.9298246,1.193181818
160.9649123,0.927313312
179,0.713636364
179.0350877,0.681818182
179.0701754,0.852272727
179.1052632,0.745454545
179.1403509,0.781818182
179.1754386,0.843181818
179.2105263,1.027272727
179.245614,1.081818182
179.2807018,1.136363636
179.3157895,1.268181818
179.3508772,1.265909091
179.3859649,1.245454545
179.4210526,1.222727273
179.4561404,1.45
179.4912281,1.347727273
179.5263158,0.7
179.5614035,0.575
179.5964912,0.631818182
179.6315789,0.7
179.6666667,0.85
179.7017544,0.790909091
179.7368421,0.904545455
179.7719298,0.945454545
179.8070175,1.129545455
179.8421053,1.306818182
179.877193,1.281818182
179.9122807,0.670454545
179.9473684,0.718181818
179.9824561,0.747727273
180.0175439,1.070454545
180.0526316,0.756818182
180.0877193,0.763636364
180.122807,0.927272727
180.1578947,0.911363636
180.1929825,0.990909091
