Test MM3,
Time (s),Flame Heights (m)
179.25,1.631012658
179.2857143,1.631012658
179.3214286,1.634810127
179.3571429,1.631012658
179.3928571,1.631012658
179.4285714,1.631012658
179.4642857,1.631012658
179.5,1.631012658
179.5357143,1.632911392
179.5714286,1.631012658
179.6071429,1.634810127
179.6428571,1.631012658
179.6785714,1.629113924
179.7142857,1.632911392
179.75,1.632911392
179.7857143,1.632911392
179.8214286,1.632911392
179.8571429,1.632911392
179.8928571,1.632911392
179.9285714,1.631012658
179.9642857,1.632911392
180,1.631012658
180.0357143,1.634810127
180.0714286,1.632911392
180.1071429,1.629113924
180.1428571,1.629113924
180.1785714,1.634810127
180.2142857,1.632911392
180.25,1.631012658
180.2857143,1.629113924
180.3214286,1.631012658
180.3571429,1.631012658
180.3928571,1.631012658
180.4285714,1.631012658
180.4642857,1.631012658
180.5,1.631012658
180.5357143,1.631012658
180.5714286,1.634810127
180.6071429,1.634810127
180.6428571,1.632911392
180.6785714,1.631012658
180.7142857,1.631012658
180.75,1.634810127
180.7857143,1.631012658
180.8214286,1.629113924
180.8571429,1.634810127
180.8928571,1.629113924
180.9285714,1.634810127
180.9642857,1.631012658
199,1.631012658
199.0357143,1.631012658
199.0714286,1.629113924
199.1071429,1.631012658
199.1428571,1.631012658
199.1785714,1.632911392
199.2142857,1.632911392
199.25,1.631012658
199.2857143,1.631012658
199.3214286,1.631012658
199.3571429,1.634810127
199.3928571,1.632911392
199.4285714,1.632911392
199.4642857,1.632911392
199.5,1.632911392
199.5357143,1.631012658
199.5714286,1.629113924
199.6071429,1.631012658
199.6428571,1.629113924
199.6785714,1.631012658
199.7142857,1.634810127
199.75,1.631012658
199.7857143,1.631012658
199.8214286,1.631012658
199.8571429,1.629113924
199.8928571,1.632911392
199.9285714,1.632911392
199.9642857,1.632911392
200,1.631012658
200.0357143,1.629113924
200.0714286,1.629113924
200.1071429,1.629113924
200.1428571,1.629113924
200.1785714,1.629113924
200.2142857,1.629113924
200.25,1.629113924
200.2857143,1.631012658
200.3214286,1.631012658
200.3571429,1.631012658
200.3928571,1.631012658
200.4285714,1.631012658
200.4642857,1.631012658
200.5,1.631012658
200.5357143,1.629113924
200.5714286,1.629113924
200.6071429,1.629113924
200.6428571,1.629113924
200.6785714,1.631012658
200.7142857,1.631012658
200.75,1.632911392
200.7857143,1.632911392
200.8214286,1.632911392
200.8571429,1.631012658
200.8928571,1.634810127
200.9285714,1.629113924
200.9642857,1.629113924
219,1.62721519
219.0357143,1.62721519
219.0714286,1.62721519
219.1071429,1.62721519
219.1428571,1.62721519
219.1785714,1.625316456
219.2142857,1.625316456
219.25,1.629113924
219.2857143,1.62721519
219.3214286,1.62721519
219.3571429,1.62721519
219.3928571,1.62721519
219.4285714,1.629113924
219.4642857,1.629113924
219.5,1.629113924
219.5357143,1.629113924
219.5714286,1.629113924
219.6071429,1.62721519
219.6428571,1.625316456
219.6785714,1.62721519
219.7142857,1.62721519
219.75,1.62721519
219.7857143,1.62721519
219.8214286,1.62721519
219.8571429,1.631012658
219.8928571,1.62721519
219.9285714,1.629113924
219.9642857,1.62721519
220,1.62721519
220.0357143,1.62721519
220.0714286,1.629113924
220.1071429,1.62721519
220.1428571,1.62721519
220.1785714,1.625316456
220.2142857,1.629113924
220.25,1.62721519
220.2857143,1.629113924
220.3214286,1.629113924
220.3571429,1.629113924
220.3928571,1.629113924
220.4285714,1.629113924
220.4642857,1.629113924
220.5,1.629113924
220.5357143,1.629113924
220.5714286,1.62721519
220.6071429,1.625316456
220.6428571,1.629113924
220.6785714,1.625316456
220.7142857,1.629113924
220.75,1.62721519
220.7857143,1.62721519
220.8214286,1.62721519
220.8571429,1.629113924
220.8928571,1.631012658
220.9285714,1.629113924
220.9642857,1.629113924
239,1.625316456
239.0357143,1.625316456
239.0714286,1.625316456
239.1071429,1.625316456
239.1428571,1.625316456
239.1785714,1.62721519
239.2142857,1.625316456
239.25,1.629113924
239.2857143,1.629113924
239.3214286,1.62721519
239.3571429,1.623417722
239.3928571,1.467721519
239.4285714,1.613924051
239.4642857,1.613924051
239.5,1.62721519
239.5357143,1.62721519
239.5714286,1.625316456
239.6071429,1.625316456
239.6428571,1.629113924
239.6785714,1.62721519
239.7142857,1.629113924
239.75,1.62721519
239.7857143,1.625316456
239.8214286,1.625316456
239.8571429,1.58164557
239.8928571,1.58164557
239.9285714,1.62721519
239.9642857,1.62721519
240,1.62721519
240.0357143,1.625316456
240.0714286,1.625316456
240.1071429,1.629113924
240.1428571,1.629113924
240.1785714,1.62721519
240.2142857,1.625316456
240.25,1.625316456
240.2857143,1.625316456
240.3214286,1.625316456
240.3571429,1.62721519
240.3928571,1.62721519
240.4285714,1.629113924
240.4642857,1.62721519
240.5,1.62721519
240.5357143,1.62721519
240.5714286,1.62721519
240.6071429,1.625316456
240.6428571,1.625316456
240.6785714,1.623417722
240.7142857,1.625316456
240.75,1.625316456
240.7857143,1.623417722
240.8214286,1.625316456
240.8571429,1.621518987
240.8928571,1.625316456
240.9285714,1.625316456
240.9642857,1.625316456
259,1.62721519
259.0357143,1.62721519
259.0714286,1.623417722
259.1071429,1.629113924
259.1428571,1.629113924
259.1785714,1.623417722
259.2142857,1.623417722
259.25,1.62721519
259.2857143,1.625316456
259.3214286,1.625316456
259.3571429,1.62721519
259.3928571,1.62721519
259.4285714,1.62721519
259.4642857,1.62721519
259.5,1.625316456
259.5357143,1.62721519
259.5714286,1.62721519
259.6071429,1.62721519
259.6428571,1.623417722
259.6785714,1.625316456
259.7142857,1.625316456
259.75,1.62721519
259.7857143,1.62721519
259.8214286,1.62721519
259.8571429,1.625316456
259.8928571,1.62721519
259.9285714,1.62721519
259.9642857,1.625316456
260,1.62721519
260.0357143,1.623417722
260.0714286,1.625316456
260.1071429,1.625316456
260.1428571,1.625316456
260.1785714,1.625316456
260.2142857,1.623417722
260.25,1.62721519
260.2857143,1.62721519
260.3214286,1.62721519
260.3571429,1.625316456
260.3928571,1.625316456
260.4285714,1.625316456
260.4642857,1.625316456
260.5,1.623417722
260.5357143,1.625316456
260.5714286,1.629113924
260.6071429,1.629113924
260.6428571,1.625316456
260.6785714,1.623417722
260.7142857,1.625316456
260.75,1.625316456
260.7857143,1.625316456
260.8214286,1.625316456
260.8571429,1.625316456
260.8928571,1.629113924
260.9285714,1.62721519
260.9642857,1.62721519
279,1.623417722
279.0357143,1.623417722
279.0714286,1.625316456
279.1071429,1.62721519
279.1428571,1.62721519
279.1785714,1.62721519
279.2142857,1.547468354
279.25,1.471518987
279.2857143,1.619620253
279.3214286,1.625316456
279.3571429,1.623417722
279.3928571,1.625316456
279.4285714,1.625316456
279.4642857,1.625316456
279.5,1.625316456
279.5357143,1.625316456
279.5714286,1.566455696
279.6071429,1.623417722
279.6428571,1.623417722
279.6785714,1.492405063
279.7142857,1.621518987
279.75,1.625316456
279.7857143,1.623417722
279.8214286,1.623417722
279.8571429,1.625316456
279.8928571,1.623417722
279.9285714,1.621518987
279.9642857,1.625316456
280,1.625316456
280.0357143,1.623417722
280.0714286,1.625316456
280.1071429,1.589240506
280.1428571,1.52278481
280.1785714,1.623417722
280.2142857,1.625316456
280.25,1.625316456
280.2857143,1.625316456
280.3214286,1.625316456
280.3571429,1.623417722
280.3928571,1.623417722
280.4285714,1.623417722
280.4642857,1.623417722
280.5,1.623417722
280.5357143,1.623417722
280.5714286,1.623417722
280.6071429,1.623417722
280.6428571,1.623417722
280.6785714,1.623417722
280.7142857,1.625316456
280.75,1.623417722
280.7857143,1.621518987
280.8214286,1.621518987
280.8571429,1.625316456
280.8928571,1.625316456
280.9285714,1.623417722
280.9642857,1.62721519
299,1.621518987
299.0357143,1.621518987
299.0714286,1.623417722
299.1071429,1.623417722
299.1428571,1.623417722
299.1785714,1.621518987
299.2142857,1.619620253
299.25,1.621518987
299.2857143,1.619620253
299.3214286,1.619620253
299.3571429,1.619620253
299.3928571,1.619620253
299.4285714,1.621518987
299.4642857,1.621518987
299.5,1.619620253
299.5357143,1.619620253
299.5714286,1.623417722
299.6071429,1.621518987
299.6428571,1.617721519
299.6785714,1.623417722
299.7142857,1.619620253
299.75,1.623417722
299.7857143,1.619620253
299.8214286,1.619620253
299.8571429,1.621518987
299.8928571,1.612025316
299.9285714,1.625316456
299.9642857,1.623417722
300,1.621518987
300.0357143,1.619620253
300.0714286,1.621518987
300.1071429,1.619620253
300.1428571,1.619620253
300.1785714,1.621518987
300.2142857,1.621518987
300.25,1.619620253
300.2857143,1.589240506
300.3214286,1.623417722
300.3571429,1.623417722
300.3928571,1.619620253
300.4285714,1.619620253
300.4642857,1.619620253
300.5,1.621518987
300.5357143,1.623417722
300.5714286,1.623417722
300.6071429,1.621518987
300.6428571,1.621518987
300.6785714,1.619620253
300.7142857,1.619620253
300.75,1.621518987
300.7857143,1.621518987
300.8214286,1.621518987
300.8571429,1.619620253
300.8928571,1.621518987
300.9285714,1.623417722
300.9642857,1.621518987
319,1.621518987
319.0357143,1.621518987
319.0714286,1.621518987
319.1071429,1.619620253
319.1428571,1.619620253
319.1785714,1.619620253
319.2142857,1.619620253
319.25,1.619620253
319.2857143,1.625316456
319.3214286,1.621518987
319.3571429,1.621518987
319.3928571,1.621518987
319.4285714,1.621518987
319.4642857,1.621518987
319.5,1.619620253
319.5357143,1.619620253
319.5714286,1.60443038
319.6071429,1.520886076
319.6428571,1.619620253
319.6785714,1.619620253
319.7142857,1.621518987
319.75,1.623417722
319.7857143,1.621518987
319.8214286,1.621518987
319.8571429,1.621518987
319.8928571,1.619620253
319.9285714,1.621518987
319.9642857,1.621518987
320,1.598734177
320.0357143,1.619620253
320.0714286,1.452531646
320.1071429,1.619620253
320.1428571,1.619620253
320.1785714,1.619620253
320.2142857,1.623417722
320.25,1.625316456
320.2857143,1.621518987
320.3214286,1.621518987
320.3571429,1.621518987
320.3928571,1.619620253
320.4285714,1.619620253
320.4642857,1.619620253
320.5,1.619620253
320.5357143,1.619620253
320.5714286,1.608227848
320.6071429,1.619620253
320.6428571,1.621518987
320.6785714,1.621518987
320.7142857,1.621518987
320.75,1.625316456
320.7857143,1.623417722
320.8214286,1.623417722
320.8571429,1.621518987
320.8928571,1.619620253
320.9285714,1.621518987
320.9642857,1.619620253
339,1.621518987
339.0357143,1.615822785
339.0714286,1.621518987
339.1071429,1.503797468
339.1428571,1.503797468
339.1785714,1.619620253
339.2142857,1.619620253
339.25,1.619620253
339.2857143,1.621518987
339.3214286,1.621518987
339.3571429,1.619620253
339.3928571,1.619620253
339.4285714,1.619620253
339.4642857,1.619620253
339.5,1.619620253
339.5357143,1.619620253
339.5714286,1.619620253
339.6071429,1.619620253
339.6428571,1.619620253
339.6785714,1.615822785
339.7142857,1.621518987
339.75,1.596835443
339.7857143,1.619620253
339.8214286,1.619620253
339.8571429,1.619620253
339.8928571,1.621518987
339.9285714,1.619620253
339.9642857,1.621518987
340,1.621518987
340.0357143,1.589240506
340.0714286,1.589240506
340.1071429,1.621518987
340.1428571,1.621518987
340.1785714,1.574050633
340.2142857,1.579746835
340.25,1.621518987
340.2857143,1.623417722
340.3214286,1.621518987
340.3571429,1.621518987
340.3928571,1.619620253
340.4285714,1.621518987
340.4642857,1.621518987
340.5,1.619620253
340.5357143,1.621518987
340.5714286,1.619620253
340.6071429,1.623417722
340.6428571,1.619620253
340.6785714,1.623417722
340.7142857,1.621518987
340.75,1.619620253
340.7857143,1.619620253
340.8214286,1.619620253
340.8571429,1.619620253
340.8928571,1.621518987
340.9285714,1.617721519
340.9642857,1.585443038
359,1.615822785
359.0357143,1.528481013
359.0714286,1.528481013
359.1071429,1.615822785
359.1428571,1.528481013
359.1785714,1.617721519
359.2142857,1.621518987
359.25,1.619620253
359.2857143,1.619620253
359.3214286,1.617721519
359.3571429,1.615822785
359.3928571,1.615822785
359.4285714,1.528481013
359.4642857,1.532278481
359.5,1.300632911
359.5357143,1.401265823
359.5714286,1.566455696
359.6071429,1.615822785
359.6428571,1.621518987
359.6785714,1.619620253
359.7142857,1.619620253
359.75,1.615822785
359.7857143,1.615822785
359.8214286,1.60443038
359.8571429,1.619620253
359.8928571,1.494303797
359.9285714,1.615822785
359.9642857,1.427848101
360,1.452531646
360.0357143,1.549367089
360.0714286,1.549367089
360.1071429,1.621518987
360.1428571,1.617721519
360.1785714,1.619620253
360.2142857,1.621518987
360.25,1.617721519
360.2857143,1.619620253
360.3214286,1.60443038
360.3571429,1.615822785
360.3928571,1.615822785
360.4285714,1.619620253
360.4642857,1.615822785
360.5,1.528481013
360.5357143,1.615822785
360.5714286,1.393670886
360.6071429,1.621518987
360.6428571,1.619620253
360.6785714,1.617721519
360.7142857,1.617721519
360.75,1.619620253
360.7857143,1.621518987
360.8214286,1.619620253
360.8571429,1.619620253
360.8928571,1.558860759
360.9285714,1.608227848
360.9642857,1.425949367
379,1.619620253
379.0357143,1.619620253
379.0714286,1.619620253
379.1071429,1.619620253
379.1428571,1.619620253
379.1785714,1.520886076
379.2142857,1.509493671
379.25,1.610126582
379.2857143,1.226582278
379.3214286,1.446835443
379.3571429,1.513291139
379.3928571,1.513291139
379.4285714,1.513291139
379.4642857,1.45443038
379.5,1.615822785
379.5357143,1.575949367
379.5714286,1.583544304
