Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
384,52.97721313,20.66927677,0.22818429,316.55,0.970401691
387,52.90939506,20.66866616,0.229451456,316.7166667,0.970049331
390,52.55900172,20.67009092,0.228546337,316.5166667,0.973572939
393,52.90939506,20.66703786,0.226736099,317.7833333,0.972515856
396,52.54769871,20.66663078,0.227822242,316.65,0.971458774
399,52.1294873,20.66948031,0.231261694,317.0833333,0.970049331
402,52.58160774,20.66948031,0.230899647,317.45,0.971106413
405,52.47988064,20.66296711,0.230175551,317.8833333,0.971811135
408,52.44597161,20.6623565,0.229270432,317.6166667,0.967582805
411,52.46857763,20.66602017,0.229089409,317.25,0.96969697
414,52.55900172,20.66805554,0.230175551,317.6166667,0.970401691
417,52.88678904,20.66846262,0.227098147,316.8166667,0.970401691
420,53.40672755,20.66540956,0.228727361,317.65,0.96969697
423,52.99981915,20.66459541,0.23108067,317.6166667,0.96969697
426,52.1294873,20.66703786,0.227098147,317.45,0.968287526
429,52.03906321,20.66968384,0.228546337,317.75,0.970401691
432,52.49118365,20.66785201,0.228546337,318.1166667,0.968992248
435,52.92069807,20.66459541,0.231623742,317.65,0.971811135
438,52.57030473,20.66317065,0.22963248,317.5833333,0.968992248
441,52.92069807,20.66500248,0.231261694,317.1166667,0.968639887
444,52.57030473,20.66907323,0.229451456,317.6833333,0.970401691
447,52.1294873,20.66724139,0.229089409,317.6166667,0.971458774
450,52.57030473,20.66296711,0.230718623,318.8833333,0.968639887
453,52.97721313,20.6590999,0.231261694,318.65,0.967935166
456,52.4346686,20.66418833,0.232528861,317.9833333,0.967935166
459,52.11818428,20.66683432,0.23343398,318.5166667,0.966878083
462,52.55900172,20.66500248,0.232709885,318.5833333,0.965821001
465,53.32760647,20.66113527,0.230899647,318.05,0.968287526
468,53.41803056,20.66256004,0.229089409,318.65,0.967935166
471,53.87015101,20.66846262,0.230899647,318.15,0.968287526
474,53.40672755,20.6656131,0.231261694,318.3833333,0.968287526
477,52.98851614,20.6590999,0.230899647,319.2166667,0.967935166
480,53.01112216,20.65950698,0.233977051,317.6833333,0.970049331
483,52.03906321,20.66703786,0.229813504,317.9166667,0.967582805
486,52.44597161,20.66805554,0.23108067,318.45,0.966173362
