Time (s),dp (N/m²),X O2 (%),X CO2 (%),T_MS1 (K),Light signal (-)
870,74.61117642,20.14819646,0.747455078,379.2833333,0.961928934
873,74.21557103,20.15247085,0.743105704,377.7833333,0.961566352
876,74.14775296,20.15470983,0.739843673,378.5833333,0.959028281
879,74.23817705,20.15450628,0.740749793,379.2833333,0.960478608
882,73.68432951,20.15654171,0.740568569,378.25,0.960478608
885,72.92702776,20.16000194,0.733319612,379.6166667,0.958303118
888,73.79735962,20.16366571,0.724802087,375.5833333,0.959028281
891,73.80866263,20.16549759,0.725889431,377.3833333,0.957215373
894,73.70693553,20.16773656,0.725164535,377.85,0.957577955
897,74.11384393,20.16875428,0.719365369,377.75,0.956127629
900,74.22687404,20.17486056,0.719365369,376.4833333,0.957940537
903,73.79735962,20.17771016,0.714291099,374.9833333,0.956127629
906,74.56596437,20.18463062,0.711753964,375.45,0.955765047
909,74.12514694,20.1850377,0.708310709,377.0833333,0.956127629
912,72.92702776,20.18483416,0.703598887,377.3833333,0.956127629
915,73.37914821,20.18768376,0.703417663,375.9833333,0.951414068
918,72.0566959,20.18951564,0.705229902,375.2833333,0.95177665
921,71.5480604,20.19032982,0.695262586,374.6833333,0.949963742
924,72.06799891,20.19623256,0.694900138,373.5166667,0.952139231
927,72.50881635,20.1978609,0.694175243,374.2833333,0.949238579
930,72.06799891,20.20152467,0.693631571,374.6166667,0.952139231
933,71.63848449,20.20600261,0.691819332,375.3833333,0.950326323
936,71.9549688,20.21027701,0.68529527,372.3166667,0.950688905
939,71.6497875,20.21495849,0.681489567,375.1166667,0.94960116
942,71.63848449,20.21536558,0.678771209,373.0166667,0.947788252
945,72.39578624,20.22187895,0.677140193,373.45,0.948150834
948,72.50881635,20.22269312,0.675871626,373.1833333,0.947788252
951,73.36784519,20.22513563,0.667897773,372.95,0.944525018
954,72.94963378,20.22656043,0.669347564,371.85,0.945250181
957,73.35654218,20.231649,0.662098607,370.15,0.947063089
960,72.40708925,20.23409152,0.659199024,372.2166667,0.9448876
963,72.39578624,20.23755174,0.656480665,371.3166667,0.942349529
966,72.83660367,20.24121551,0.649050484,370.55,0.943074692
969,72.53142237,20.24325094,0.647781916,371.75,0.941986947
972,72.49751334,20.24467574,0.640714183,369.5166667,0.940899202
975,72.50881635,20.25505643,0.638358272,368.75,0.94271211
978,72.84790668,20.26360522,0.631471762,367.9166667,0.939448876
981,72.81399765,20.26401231,0.629297075,368.75,0.932197244
984,71.6497875,20.26462294,0.626578716,369.5833333,0.933647571
987,71.62718148,20.26767608,0.620235879,367.8833333,0.930746918
990,71.22027308,20.27296819,0.618604863,368.8833333,0.931834663
993,71.52545438,20.27439299,0.617155072,367.45,0.926395939
996,71.53675739,20.27703905,0.613530593,366.1833333,0.929296592
999,71.63848449,20.28192407,0.612080802,365.6833333,0.927121102
1002,71.9549688,20.28721619,0.606825308,366.9166667,0.924945613
1005,72.40708925,20.29942876,0.595589424,364.3166667,0.923132705
1008,72.40708925,20.30207481,0.594320857,367.6833333,0.920232052
1011,72.00018085,20.29942876,0.594320857,366.6166667,0.915881073
1014,71.62718148,20.30085355,0.594683304,363.9833333,0.921319797
1017,70.24821412,20.30777401,0.587796795,362.9166667,0.9173314
1020,69.90912379,20.30797755,0.584897212,365.65,0.91515591
1023,69.90912379,20.2996323,0.583266197,365.7166667,0.910079768
